section	action	shortcut
41.1 Showing and Hiding Views	Toggle Full Screen Mode	Ctrl Cmd F
41.1 Showing and Hiding Views	Toggle Second Window	Cmd Shift W
41.1 Showing and Hiding Views	Toggle Session/Arrangement View	Tab
41.1 Showing and Hiding Views	Toggle Between Device/Clip View	Shift Tab or F12
41.1 Showing and Hiding Views	Toggle Device and Clip View	Option click view toggle
41.1 Showing and Hiding Views	Toggle Hot-Swap Mode	Q
41.1 Showing and Hiding Views	Toggle Drum Rack/Last Selected Pad	D
41.1 Showing and Hiding Views	Hide/Show Info View	Shift ?
41.1 Showing and Hiding Views	Hide/Show Video Window	Cmd Option V
41.1 Showing and Hiding Views	Hide/Show Browser	Cmd Option B or Cmd Option 5
41.1 Showing and Hiding Views	Hide/Show Overview	Cmd Option O
41.1 Showing and Hiding Views	Hide/Show In/Out	Cmd Option I
41.1 Showing and Hiding Views	Hide/Show Sends	Cmd Option S
41.1 Showing and Hiding Views	Hide/Show Mixer	Cmd Option M
41.1 Showing and Hiding Views	Hide/Show Clip View	Cmd Option 3
41.1 Showing and Hiding Views	Hide/Show Device View	Cmd Option 4
41.1 Showing and Hiding Views	Hide/Show the Groove Pool	Cmd Option 6
41.1 Showing and Hiding Views	Hide/Show the Learn View	Cmd Option 7
41.1 Showing and Hiding Views	Open the Settings	Cmd ,
41.1 Showing and Hiding Views	Close Window/Dialog	Esc
41.2 Keyboard Focus and Navigation	Move Focus to the Control Bar	Option 0
41.2 Keyboard Focus and Navigation	Move Focus to the Session View	Option 1
41.2 Keyboard Focus and Navigation	Move Focus to the Arrangement View	Option 2
41.2 Keyboard Focus and Navigation	Move Focus to the Clip View	Option 3
41.2 Keyboard Focus and Navigation	Move Focus to the Device View	Option 4
41.2 Keyboard Focus and Navigation	Move Focus to the Browser	Option 5
41.2 Keyboard Focus and Navigation	Move Focus to the Groove Pool	Option 6
41.2 Keyboard Focus and Navigation	Move Focus to the Learn View	Option 7
41.2 Keyboard Focus and Navigation	Move Focus to the Selected Clip Panel	Option 8
41.2 Keyboard Focus and Navigation	Move Focus to the Clip Panels	Option Shift P
41.2 Keyboard Focus and Navigation	Move to Next Focusable Control	Tab
41.2 Keyboard Focus and Navigation	Move to Previous Focusable Control	Shift Tab
41.2 Keyboard Focus and Navigation	Move to Next Neighbor of Current Control	Option Tab
41.2 Keyboard Focus and Navigation	Move to Previous Neighbor of Current Control	Option Shift Tab
41.3 Working with Sets and the Program	New Live Set	Cmd N
41.3 Working with Sets and the Program	Open Live Set	Cmd O
41.3 Working with Sets and the Program	Save Live Set	Cmd S
41.3 Working with Sets and the Program	Save Live Set As…	Cmd Shift S
41.3 Working with Sets and the Program	Quit Live	Cmd Q
41.3 Working with Sets and the Program	Hide Live	Cmd H
41.3 Working with Sets and the Program	Export Audio/Video	Cmd Shift R
41.3 Working with Sets and the Program	Export MIDI File	Cmd Shift E
41.4 Working with Devices and Plug-Ins	Group Devices	Cmd G
41.4 Working with Devices and Plug-Ins	Ungroup Devices	Cmd Shift G
41.4 Working with Devices and Plug-Ins	Activate/Deactivate All Devices in Group	Hold Option and click on device activator
41.4 Working with Devices and Plug-Ins	Add Device(s) to Selection	Shift click
41.4 Working with Devices and Plug-Ins	See List of Devices on a Track	right-click on Device View selector
41.4 Working with Devices and Plug-Ins	Reset Parameter Value	Delete or double-click
41.4 Working with Devices and Plug-Ins	Load Selected Device from Browser	Enter
41.4 Working with Devices and Plug-Ins	Hot-Swap Selected Device	Q
41.4 Working with Devices and Plug-Ins	Show/Hide Plug-In Window	Cmd Option P
41.4 Working with Devices and Plug-Ins	Open Multiple Plug-in Panels with Show/Hide Plug-In Window Button	Cmd
41.4 Working with Devices and Plug-Ins	Compare A/B: Switch Device State	P
41.5 Editing	Cut	Cmd X
41.5 Editing	Copy	Cmd C
41.5 Editing	Paste	Cmd V
41.5 Editing	Duplicate	Cmd D
41.5 Editing	Delete	Delete
41.5 Editing	Undo	Cmd Z
41.5 Editing	Redo	Cmd Shift Z
41.5 Editing	Rename	Cmd R
41.5 Editing	Select All	Cmd A
41.5 Editing	Select Multiple Items	Cmd click
41.5 Editing	Select Multiple Items by First and Last Item	Shift click
41.5 Editing	Move to Next Track/Scene When Renaming	Tab
41.5 Editing	Ignore Grid Quantization When Dragging	Cmd
41.5 Editing	Clips and Slots Across All Tracks	Shift
41.5 Editing	Time Across All Tracks	Shift
41.5 Editing	The Selected Part of the Envelope	Option
41.6 Adjusting Values	Decrement/Increment	up and down arrow keys
41.6 Adjusting Values	Decrement/Increment in Octaves or Fine Adjustments	Shift up and down arrow keys
41.6 Adjusting Values	Finer Resolution When Dragging	Shift
41.6 Adjusting Values	Return to Default	Delete
41.6 Adjusting Values	Type In Value	0 … 9
41.6 Adjusting Values	Go to Next Field (Bar/Beat/ 16th)	. ,
